Geslacht;Bedrijfstakken/branches (SBI 2008);Perioden;Onderwerp;Type werkenden;Waarde
Mannen;B Delfstoffenwinning;2014;Arbeidsjaren;Werknemers;9
Mannen;B Delfstoffenwinning;2014;Arbeidsjaren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2014;Gewerkte uren;Werknemers;17
Mannen;B Delfstoffenwinning;2014;Gewerkte uren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2015;Werkzame personen;Werknemers;9
Mannen;B Delfstoffenwinning;2015;Werkzame personen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2015;Banen;Werknemers;9
Mannen;B Delfstoffenwinning;2015;Banen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2015;Arbeidsjaren;Werknemers;9
Mannen;B Delfstoffenwinning;2015;Arbeidsjaren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2015;Gewerkte uren;Werknemers;17
Mannen;B Delfstoffenwinning;2015;Gewerkte uren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2016;Werkzame personen;Werknemers;8
Mannen;B Delfstoffenwinning;2016;Werkzame personen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2016;Banen;Werknemers;9
Mannen;B Delfstoffenwinning;2016;Banen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2016;Arbeidsjaren;Werknemers;8
Mannen;B Delfstoffenwinning;2016;Arbeidsjaren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2016;Gewerkte uren;Werknemers;16
Mannen;B Delfstoffenwinning;2016;Gewerkte uren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2017;Werkzame personen;Werknemers;7
Mannen;B Delfstoffenwinning;2017;Werkzame personen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2017;Banen;Werknemers;7
Mannen;B Delfstoffenwinning;2017;Banen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2017;Arbeidsjaren;Werknemers;7
Mannen;B Delfstoffenwinning;2017;Arbeidsjaren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2017;Gewerkte uren;Werknemers;14
Mannen;B Delfstoffenwinning;2017;Gewerkte uren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2018;Werkzame personen;Werknemers;7
Mannen;B Delfstoffenwinning;2018;Werkzame personen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2018;Banen;Werknemers;7
Mannen;B Delfstoffenwinning;2018;Banen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2018;Arbeidsjaren;Werknemers;7
Mannen;B Delfstoffenwinning;2018;Arbeidsjaren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2018;Gewerkte uren;Werknemers;13
Mannen;B Delfstoffenwinning;2018;Gewerkte uren;Zelfstandigen;0
Mannen;C Industrie;2013;Werkzame personen;Werknemers;567
Mannen;C Industrie;2013;Werkzame personen;Zelfstandigen;30
Mannen;C Industrie;2013;Banen;Werknemers;574
Mannen;C Industrie;2013;Banen;Zelfstandigen;40
Mannen;C Industrie;2013;Arbeidsjaren;Werknemers;542
Mannen;C Industrie;2013;Arbeidsjaren;Zelfstandigen;31
Mannen;C Industrie;2013;Gewerkte uren;Werknemers;965
Mannen;C Industrie;2013;Gewerkte uren;Zelfstandigen;70
Mannen;C Industrie;2014;Werkzame personen;Werknemers;562
Mannen;C Industrie;2014;Werkzame personen;Zelfstandigen;31
Mannen;C Industrie;2014;Banen;Werknemers;569
Mannen;C Industrie;2014;Banen;Zelfstandigen;41
Mannen;C Industrie;2014;Arbeidsjaren;Werknemers;536
Mannen;C Industrie;2014;Arbeidsjaren;Zelfstandigen;32
Mannen;C Industrie;2014;Gewerkte uren;Werknemers;963
Mannen;C Industrie;2014;Gewerkte uren;Zelfstandigen;71
Mannen;C Industrie;2015;Werkzame personen;Werknemers;562
Mannen;C Industrie;2015;Werkzame personen;Zelfstandigen;31
Mannen;C Industrie;2015;Banen;Werknemers;569
Mannen;C Industrie;2015;Banen;Zelfstandigen;41
Mannen;C Industrie;2015;Arbeidsjaren;Werknemers;537
Mannen;C Industrie;2015;Arbeidsjaren;Zelfstandigen;33
Mannen;C Industrie;2015;Gewerkte uren;Werknemers;956
Mannen;C Industrie;2015;Gewerkte uren;Zelfstandigen;72
Mannen;C Industrie;2016;Werkzame personen;Werknemers;563
Mannen;C Industrie;2016;Werkzame personen;Zelfstandigen;32
Mannen;C Industrie;2016;Banen;Werknemers;571
Mannen;C Industrie;2016;Banen;Zelfstandigen;42
Mannen;C Industrie;2016;Arbeidsjaren;Werknemers;538
Mannen;C Industrie;2016;Arbeidsjaren;Zelfstandigen;34
Mannen;C Industrie;2016;Gewerkte uren;Werknemers;959
Mannen;C Industrie;2016;Gewerkte uren;Zelfstandigen;77
Mannen;C Industrie;2017;Werkzame personen;Werknemers;567
Mannen;C Industrie;2017;Werkzame personen;Zelfstandigen;32
Mannen;C Industrie;2017;Banen;Werknemers;575
Mannen;C Industrie;2017;Banen;Zelfstandigen;43
Mannen;C Industrie;2017;Arbeidsjaren;Werknemers;543
Mannen;C Industrie;2017;Arbeidsjaren;Zelfstandigen;34
Mannen;C Industrie;2017;Gewerkte uren;Werknemers;960
Mannen;C Industrie;2017;Gewerkte uren;Zelfstandigen;79
Mannen;C Industrie;2018;Werkzame personen;Werknemers;578
Mannen;C Industrie;2018;Werkzame personen;Zelfstandigen;33
Mannen;C Industrie;2018;Banen;Werknemers;586
Mannen;C Industrie;2018;Banen;Zelfstandigen;44
Mannen;C Industrie;2018;Arbeidsjaren;Werknemers;553
Mannen;C Industrie;2018;Arbeidsjaren;Zelfstandigen;34
Mannen;C Industrie;2018;Gewerkte uren;Werknemers;976
Mannen;C Industrie;2018;Gewerkte uren;Zelfstandigen;77
Mannen;D Energievoorziening;2013;Werkzame personen;Werknemers;20
Mannen;D Energievoorziening;2013;Werkzame personen;Zelfstandigen;0
Mannen;D Energievoorziening;2013;Banen;Werknemers;20
Mannen;D Energievoorziening;2013;Banen;Zelfstandigen;1
Mannen;D Energievoorziening;2013;Arbeidsjaren;Werknemers;20
Mannen;D Energievoorziening;2013;Arbeidsjaren;Zelfstandigen;0
Mannen;D Energievoorziening;2013;Gewerkte uren;Werknemers;34
Mannen;D Energievoorziening;2013;Gewerkte uren;Zelfstandigen;0
Mannen;D Energievoorziening;2014;Werkzame personen;Werknemers;20
Mannen;D Energievoorziening;2014;Werkzame personen;Zelfstandigen;1
Mannen;D Energievoorziening;2014;Banen;Werknemers;20
Mannen;D Energievoorziening;2014;Banen;Zelfstandigen;1
Mannen;D Energievoorziening;2014;Arbeidsjaren;Werknemers;19
Mannen;D Energievoorziening;2014;Arbeidsjaren;Zelfstandigen;0
Mannen;D Energievoorziening;2014;Gewerkte uren;Werknemers;34
Mannen;D Energievoorziening;2014;Gewerkte uren;Zelfstandigen;1
Mannen;D Energievoorziening;2015;Werkzame personen;Werknemers;20
Mannen;D Energievoorziening;2015;Werkzame personen;Zelfstandigen;0
Mannen;D Energievoorziening;2015;Banen;Werknemers;20
Mannen;D Energievoorziening;2015;Banen;Zelfstandigen;1
Mannen;D Energievoorziening;2015;Arbeidsjaren;Werknemers;19
Mannen;D Energievoorziening;2015;Arbeidsjaren;Zelfstandigen;0
Mannen;D Energievoorziening;2015;Gewerkte uren;Werknemers;34
Mannen;D Energievoorziening;2015;Gewerkte uren;Zelfstandigen;1
Mannen;D Energievoorziening;2016;Werkzame personen;Werknemers;20
Mannen;D Energievoorziening;2016;Werkzame personen;Zelfstandigen;0
Mannen;D Energievoorziening;2016;Banen;Werknemers;20
Mannen;D Energievoorziening;2016;Banen;Zelfstandigen;1
Mannen;D Energievoorziening;2016;Arbeidsjaren;Werknemers;19
Mannen;D Energievoorziening;2016;Arbeidsjaren;Zelfstandigen;0
Mannen;D Energievoorziening;2016;Gewerkte uren;Werknemers;33
Mannen;D Energievoorziening;2016;Gewerkte uren;Zelfstandigen;1
Mannen;D Energievoorziening;2017;Werkzame personen;Werknemers;20
Mannen;D Energievoorziening;2017;Werkzame personen;Zelfstandigen;0
Mannen;D Energievoorziening;2017;Banen;Werknemers;20
Mannen;D Energievoorziening;2017;Banen;Zelfstandigen;1
Mannen;D Energievoorziening;2017;Arbeidsjaren;Werknemers;19
Mannen;D Energievoorziening;2017;Arbeidsjaren;Zelfstandigen;0
Mannen;D Energievoorziening;2017;Gewerkte uren;Werknemers;35
Mannen;D Energievoorziening;2017;Gewerkte uren;Zelfstandigen;1
Mannen;D Energievoorziening;2018;Werkzame personen;Werknemers;20
Mannen;D Energievoorziening;2018;Werkzame personen;Zelfstandigen;0
Mannen;D Energievoorziening;2018;Banen;Werknemers;20
Mannen;D Energievoorziening;2018;Banen;Zelfstandigen;1
Mannen;D Energievoorziening;2018;Arbeidsjaren;Werknemers;20
Mannen;D Energievoorziening;2018;Arbeidsjaren;Zelfstandigen;0
Mannen;D Energievoorziening;2018;Gewerkte uren;Werknemers;36
Mannen;D Energievoorziening;2018;Gewerkte uren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2013;Werkzame personen;Werknemers;26
Mannen;E Waterbedrijven en afvalbeheer;2013;Werkzame personen;Zelfstandigen;0
Mannen;E Waterbedrijven en afvalbeheer;2013;Banen;Werknemers;27
Mannen;E Waterbedrijven en afvalbeheer;2013;Banen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2013;Arbeidsjaren;Werknemers;26
Mannen;E Waterbedrijven en afvalbeheer;2013;Arbeidsjaren;Zelfstandigen;0
Mannen;E Waterbedrijven en afvalbeheer;2013;Gewerkte uren;Werknemers;49
Mannen;E Waterbedrijven en afvalbeheer;2013;Gewerkte uren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2014;Werkzame personen;Werknemers;26
Mannen;E Waterbedrijven en afvalbeheer;2014;Werkzame personen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2014;Banen;Werknemers;27
Mannen;E Waterbedrijven en afvalbeheer;2014;Banen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2014;Arbeidsjaren;Werknemers;26
Mannen;E Waterbedrijven en afvalbeheer;2014;Arbeidsjaren;Zelfstandigen;0
Mannen;E Waterbedrijven en afvalbeheer;2014;Gewerkte uren;Werknemers;50
Mannen;E Waterbedrijven en afvalbeheer;2014;Gewerkte uren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2015;Werkzame personen;Werknemers;26
Mannen;E Waterbedrijven en afvalbeheer;2015;Werkzame personen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2015;Banen;Werknemers;27
Mannen;E Waterbedrijven en afvalbeheer;2015;Banen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2015;Arbeidsjaren;Werknemers;25
Mannen;E Waterbedrijven en afvalbeheer;2015;Arbeidsjaren;Zelfstandigen;0
Mannen;E Waterbedrijven en afvalbeheer;2015;Gewerkte uren;Werknemers;49
Mannen;E Waterbedrijven en afvalbeheer;2015;Gewerkte uren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2016;Werkzame personen;Werknemers;27
Mannen;E Waterbedrijven en afvalbeheer;2016;Werkzame personen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2016;Banen;Werknemers;27
Mannen;E Waterbedrijven en afvalbeheer;2016;Banen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2016;Arbeidsjaren;Werknemers;26
Mannen;E Waterbedrijven en afvalbeheer;2016;Arbeidsjaren;Zelfstandigen;0
Mannen;E Waterbedrijven en afvalbeheer;2016;Gewerkte uren;Werknemers;49
Mannen;E Waterbedrijven en afvalbeheer;2016;Gewerkte uren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2017;Werkzame personen;Werknemers;27
Mannen;E Waterbedrijven en afvalbeheer;2017;Werkzame personen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2017;Banen;Werknemers;28
Mannen;E Waterbedrijven en afvalbeheer;2017;Banen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2017;Arbeidsjaren;Werknemers;27
Mannen;E Waterbedrijven en afvalbeheer;2017;Arbeidsjaren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2017;Gewerkte uren;Werknemers;51
Mannen;E Waterbedrijven en afvalbeheer;2017;Gewerkte uren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2018;Werkzame personen;Werknemers;28
Mannen;E Waterbedrijven en afvalbeheer;2018;Werkzame personen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2018;Banen;Werknemers;29
Mannen;E Waterbedrijven en afvalbeheer;2018;Banen;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2018;Arbeidsjaren;Werknemers;28
Mannen;E Waterbedrijven en afvalbeheer;2018;Arbeidsjaren;Zelfstandigen;1
Mannen;E Waterbedrijven en afvalbeheer;2018;Gewerkte uren;Werknemers;53
Mannen;E Waterbedrijven en afvalbeheer;2018;Gewerkte uren;Zelfstandigen;1
Mannen;F Bouwnijverheid;2013;Werkzame personen;Werknemers;282
Mannen;F Bouwnijverheid;2013;Werkzame personen;Zelfstandigen;137
Mannen;F Bouwnijverheid;2013;Banen;Werknemers;286
Mannen;F Bouwnijverheid;2013;Banen;Zelfstandigen;168
Mannen;F Bouwnijverheid;2013;Arbeidsjaren;Werknemers;270
Mannen;F Bouwnijverheid;2013;Arbeidsjaren;Zelfstandigen;139
Mannen;F Bouwnijverheid;2013;Gewerkte uren;Werknemers;485
Mannen;F Bouwnijverheid;2013;Gewerkte uren;Zelfstandigen;287
Mannen;F Bouwnijverheid;2014;Werkzame personen;Werknemers;265
Mannen;F Bouwnijverheid;2014;Werkzame personen;Zelfstandigen;142
Mannen;F Bouwnijverheid;2014;Banen;Werknemers;269
Mannen;F Bouwnijverheid;2014;Banen;Zelfstandigen;173
Mannen;F Bouwnijverheid;2014;Arbeidsjaren;Werknemers;254
Mannen;F Bouwnijverheid;2014;Arbeidsjaren;Zelfstandigen;145
Mannen;F Bouwnijverheid;2014;Gewerkte uren;Werknemers;466
Mannen;F Bouwnijverheid;2014;Gewerkte uren;Zelfstandigen;297
Mannen;F Bouwnijverheid;2015;Werkzame personen;Werknemers;260
Mannen;F Bouwnijverheid;2015;Werkzame personen;Zelfstandigen;144
Mannen;F Bouwnijverheid;2015;Banen;Werknemers;263
Mannen;F Bouwnijverheid;2015;Banen;Zelfstandigen;179
Mannen;F Bouwnijverheid;2015;Arbeidsjaren;Werknemers;250
Mannen;F Bouwnijverheid;2015;Arbeidsjaren;Zelfstandigen;151
Mannen;F Bouwnijverheid;2015;Gewerkte uren;Werknemers;453
Mannen;F Bouwnijverheid;2015;Gewerkte uren;Zelfstandigen;316
Mannen;F Bouwnijverheid;2016;Werkzame personen;Werknemers;259
Mannen;F Bouwnijverheid;2016;Werkzame personen;Zelfstandigen;148
Mannen;F Bouwnijverheid;2016;Banen;Werknemers;262
Mannen;F Bouwnijverheid;2016;Banen;Zelfstandigen;184
Mannen;F Bouwnijverheid;2016;Arbeidsjaren;Werknemers;249
Mannen;F Bouwnijverheid;2016;Arbeidsjaren;Zelfstandigen;157
Mannen;F Bouwnijverheid;2016;Gewerkte uren;Werknemers;450
Mannen;F Bouwnijverheid;2016;Gewerkte uren;Zelfstandigen;335
Mannen;F Bouwnijverheid;2017;Werkzame personen;Werknemers;266
Mannen;F Bouwnijverheid;2017;Werkzame personen;Zelfstandigen;154
Mannen;F Bouwnijverheid;2017;Banen;Werknemers;270
Mannen;F Bouwnijverheid;2017;Banen;Zelfstandigen;191
Mannen;F Bouwnijverheid;2017;Arbeidsjaren;Werknemers;257
Mannen;F Bouwnijverheid;2017;Arbeidsjaren;Zelfstandigen;164
Mannen;F Bouwnijverheid;2017;Gewerkte uren;Werknemers;465
Mannen;F Bouwnijverheid;2017;Gewerkte uren;Zelfstandigen;341
Mannen;F Bouwnijverheid;2018;Werkzame personen;Werknemers;274
Mannen;F Bouwnijverheid;2018;Werkzame personen;Zelfstandigen;165
Mannen;F Bouwnijverheid;2018;Banen;Werknemers;279
Mannen;F Bouwnijverheid;2018;Banen;Zelfstandigen;205
Mannen;F Bouwnijverheid;2018;Arbeidsjaren;Werknemers;265
Mannen;F Bouwnijverheid;2018;Arbeidsjaren;Zelfstandigen;175
Mannen;F Bouwnijverheid;2018;Gewerkte uren;Werknemers;479
Mannen;F Bouwnijverheid;2018;Gewerkte uren;Zelfstandigen;367
Mannen;G Handel;2013;Werkzame personen;Werknemers;658
Mannen;G Handel;2013;Werkzame personen;Zelfstandigen;105
Mannen;G Handel;2013;Banen;Werknemers;679
Mannen;G Handel;2013;Banen;Zelfstandigen;140
Mannen;G Handel;2013;Arbeidsjaren;Werknemers;530
Mannen;G Handel;2013;Arbeidsjaren;Zelfstandigen;105
Mannen;G Handel;2013;Gewerkte uren;Werknemers;950
Mannen;G Handel;2013;Gewerkte uren;Zelfstandigen;249
Mannen;G Handel;2014;Werkzame personen;Werknemers;656
Mannen;G Handel;2014;Werkzame personen;Zelfstandigen;107
Mannen;G Handel;2014;Banen;Werknemers;676
Mannen;G Handel;2014;Banen;Zelfstandigen;144
Mannen;G Handel;2014;Arbeidsjaren;Werknemers;523
Mannen;G Handel;2014;Arbeidsjaren;Zelfstandigen;107
Mannen;G Handel;2014;Gewerkte uren;Werknemers;944
Mannen;G Handel;2014;Gewerkte uren;Zelfstandigen;256
Mannen;G Handel;2015;Werkzame personen;Werknemers;665
Mannen;G Handel;2015;Werkzame personen;Zelfstandigen;107
Mannen;G Handel;2015;Banen;Werknemers;687
Mannen;G Handel;2015;Banen;Zelfstandigen;146
Mannen;G Handel;2015;Arbeidsjaren;Werknemers;529
Mannen;G Handel;2015;Arbeidsjaren;Zelfstandigen;110
Mannen;G Handel;2015;Gewerkte uren;Werknemers;950
Mannen;G Handel;2015;Gewerkte uren;Zelfstandigen;265
Mannen;G Handel;2016;Werkzame personen;Werknemers;677
Mannen;G Handel;2016;Werkzame personen;Zelfstandigen;107
Mannen;G Handel;2016;Banen;Werknemers;700
Mannen;G Handel;2016;Banen;Zelfstandigen;147
Mannen;G Handel;2016;Arbeidsjaren;Werknemers;542
Mannen;G Handel;2016;Arbeidsjaren;Zelfstandigen;111
Mannen;G Handel;2016;Gewerkte uren;Werknemers;977
Mannen;G Handel;2016;Gewerkte uren;Zelfstandigen;260
Mannen;G Handel;2017;Werkzame personen;Werknemers;693
Mannen;G Handel;2017;Werkzame personen;Zelfstandigen;105
Mannen;G Handel;2017;Banen;Werknemers;717
Mannen;G Handel;2017;Banen;Zelfstandigen;145
Mannen;G Handel;2017;Arbeidsjaren;Werknemers;558
Mannen;G Handel;2017;Arbeidsjaren;Zelfstandigen;108
Mannen;G Handel;2017;Gewerkte uren;Werknemers;994
Mannen;G Handel;2017;Gewerkte uren;Zelfstandigen;259
Mannen;G Handel;2018;Werkzame personen;Werknemers;710
Mannen;G Handel;2018;Werkzame personen;Zelfstandigen;104
Mannen;G Handel;2018;Banen;Werknemers;735
Mannen;G Handel;2018;Banen;Zelfstandigen;144
Mannen;G Handel;2018;Arbeidsjaren;Werknemers;572
Mannen;G Handel;2018;Arbeidsjaren;Zelfstandigen;106
Mannen;G Handel;2018;Gewerkte uren;Werknemers;1016
Mannen;G Handel;2018;Gewerkte uren;Zelfstandigen;253
Mannen;H Vervoer en opslag;2013;Werkzame personen;Werknemers;270
Mannen;H Vervoer en opslag;2013;Werkzame personen;Zelfstandigen;26
Mannen;H Vervoer en opslag;2013;Banen;Werknemers;281
Mannen;H Vervoer en opslag;2013;Banen;Zelfstandigen;33
Mannen;H Vervoer en opslag;2013;Arbeidsjaren;Werknemers;238
Mannen;H Vervoer en opslag;2013;Arbeidsjaren;Zelfstandigen;24
Mannen;H Vervoer en opslag;2013;Gewerkte uren;Werknemers;457
Mannen;H Vervoer en opslag;2013;Gewerkte uren;Zelfstandigen;56
Mannen;H Vervoer en opslag;2014;Werkzame personen;Werknemers;265
Mannen;H Vervoer en opslag;2014;Werkzame personen;Zelfstandigen;27
Mannen;H Vervoer en opslag;2014;Banen;Werknemers;276
Mannen;H Vervoer en opslag;2014;Banen;Zelfstandigen;35
Mannen;H Vervoer en opslag;2014;Arbeidsjaren;Werknemers;234
Mannen;H Vervoer en opslag;2014;Arbeidsjaren;Zelfstandigen;25
Mannen;H Vervoer en opslag;2014;Gewerkte uren;Werknemers;452
Mannen;H Vervoer en opslag;2014;Gewerkte uren;Zelfstandigen;61
Mannen;H Vervoer en opslag;2015;Werkzame personen;Werknemers;263
Mannen;H Vervoer en opslag;2015;Werkzame personen;Zelfstandigen;27
Mannen;H Vervoer en opslag;2015;Banen;Werknemers;275
Mannen;H Vervoer en opslag;2015;Banen;Zelfstandigen;36
Mannen;H Vervoer en opslag;2015;Arbeidsjaren;Werknemers;234
Mannen;H Vervoer en opslag;2015;Arbeidsjaren;Zelfstandigen;28
Mannen;H Vervoer en opslag;2015;Gewerkte uren;Werknemers;450
Mannen;H Vervoer en opslag;2015;Gewerkte uren;Zelfstandigen;67
Mannen;H Vervoer en opslag;2016;Werkzame personen;Werknemers;265
Mannen;H Vervoer en opslag;2016;Werkzame personen;Zelfstandigen;28
Mannen;H Vervoer en opslag;2016;Banen;Werknemers;277
Mannen;H Vervoer en opslag;2016;Banen;Zelfstandigen;39
Mannen;H Vervoer en opslag;2016;Arbeidsjaren;Werknemers;239
Mannen;H Vervoer en opslag;2016;Arbeidsjaren;Zelfstandigen;28
Mannen;H Vervoer en opslag;2016;Gewerkte uren;Werknemers;462
Mannen;H Vervoer en opslag;2016;Gewerkte uren;Zelfstandigen;69
Mannen;H Vervoer en opslag;2017;Werkzame personen;Werknemers;269
Mannen;H Vervoer en opslag;2017;Werkzame personen;Zelfstandigen;29
Mannen;H Vervoer en opslag;2017;Banen;Werknemers;280
Mannen;H Vervoer en opslag;2017;Banen;Zelfstandigen;40
Mannen;H Vervoer en opslag;2017;Arbeidsjaren;Werknemers;243
Mannen;H Vervoer en opslag;2017;Arbeidsjaren;Zelfstandigen;29
Mannen;H Vervoer en opslag;2017;Gewerkte uren;Werknemers;466
Mannen;H Vervoer en opslag;2017;Gewerkte uren;Zelfstandigen;69
Mannen;H Vervoer en opslag;2018;Werkzame personen;Werknemers;277
Mannen;H Vervoer en opslag;2018;Werkzame personen;Zelfstandigen;30
Mannen;H Vervoer en opslag;2018;Banen;Werknemers;289
Mannen;H Vervoer en opslag;2018;Banen;Zelfstandigen;43
Mannen;H Vervoer en opslag;2018;Arbeidsjaren;Werknemers;250
Mannen;H Vervoer en opslag;2018;Arbeidsjaren;Zelfstandigen;29
